"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
 603,"*pїri- / *pa▀█ri▒-", 168,"to throw away, to abandon","выкидывать, покидать","pЇri-","pa▀█ri▒- / pїri▒-","Nam 241, KED 759-760."
 604,"*╢Ї█", 255,"this","этот","","╢Ї█","Liu 650."
 605,"*sjїrb-",2560,"to be annoyed, vexed, sad","быть раздраженным, расстроенным","sїrЇp- (-w-)","sjїrp- (-w-)","Nam 305, KED 935."
 606,"*kёr-", 773,"to curse, deprecate","ругать, порицать","kul- (arch.)","kёr-","Nam 62, KED 217. Cf. also MKor. ko█r'їp- 'to be rude, coarse' (Nam 51), modern kol 'anger' (KED 156)."
 607,"*░n▒-", 431,"to rob, steal","грабить, похищать","\Iat-\i \I[as-]\i","░s-, ░n▒- (a█n▒a▀-)","Nam 350, KED 1096."
 608,"*sa█ra▀-",2093,"to capture","брать в плен","saro-╢ap-","sa█ra▀-╢a█p- ("to take captive")","Nam 283, KED 872."
 609,"*u╢uk",2540,"top of a tree, upper branches","верхушка дерева","u√uk","","KED 1242."
 610,"*th╞▒r",2319,"frame","рама","th╞l","th╞▒r","Liu 718, KED 1724."
 611,"*ma█╢-",1236,"to meet, correspond, hit the target","встречать, соответствовать, попадать в цель","\Imat-\i [ma╢-]","ma█╢-","Nam 206, KED 592-593."
 612,"*ku█t-",1020,"hard","твердый","kut-","ku█t-","Liu 88, KED 216."
 613,"*na▀▒r-na▒-",1471,"brave, nimble","храбрый, проворный","nall▓-","na▀▒r-na▒-","Nam 96, KED 303."
 614,"*na▀█╢-",1544,"low, inferior","низкий, худший","nat- [na╢-]","na▀█s-k░p-, na▀╢-","Nam 100, 101, KED 312."
 615,"*╢o█╢h-",2147,"1 to follow, pursue 2 trace","1 следовать за, преследовать","╢ot- [╢o╢h-] 1, ╢a╢hwi 2","╢o█╢h- 1, ╢a█╢ho▒i 2","Nam 411, 431, KED 1384, 1488."
 616,"*ko█╢-", 941,"to hold in two arms","держать двумя руками","","ko█╢-","HMCH 342, Nam 54."
 617,"*ni▒-",1522,"to go","идти","","ni▒- (njЇ█-)","Nam 119. Cf. also ni█ra▀-, ni█r╞█- 'to reach'."
 618,"*u█h", 658,"up, above","верх, наверху","\Iwi\i","\Iu█\i (u█h-)","Nam 388, KED 1258."
 619,"*ptu█i-", 177,"to jump","прыгать","t:wi-","ptu█i-","Nam 169, KED 513."
 620,"*ka█m-", 877,"to wind around","обвивать, наматывать","k░m-","ka█m-","Liu 29, KED 50."
 621,"*mЇ█k-",1241,"to be deaf","глохнуть, быть глухим","mЇk-","mЇ█k-","Liu 313, KED 610."
 622,"*ta█r'a▒i-",2321,"to lure, seduce, coax","соблазнять, заманивать","tall▓-","ta█r'a▒i-","Nam 139, KED 404."
 623,"*o▒rh-",2534,"right, true","правильный, верный","ol- (olh-)","o▒rh-","Nam 383, KED 1210."
 624,"*hїr-",2136,"to be worn out, sore, develop a boil","быть измученным, израненным, нарывать","hїl-","hїr-","Nam 485, KED 1826."
 625,"*ёn▒-", 601,"to laugh","смеяться","ёt- [ёs-]","ёs-, u█n▒- (u█n▒╞-)","Nam 393, KED 1250."
 626,"*h░r-",2064,"to slander","клеветать, порочить","","h░r-","Nam 478."
 627,"*a█s-ka█b-, *a█s-ki▒-", 468,"1 to be pitiful; to be precious, valuable 2 to spare, grudge; value, esteem","1 быть достойным сожаления; быть ценным, драгоценным 2 жалеть, завидовать; ценить, почитать","ak:ap- (-w-) 1, ak:i- 2","a█s-ka█p- (-w-) 1, a█s-ki▒- 2","Nam 349, KED 1067."
 628,"*sa█'o▒-na▒b-",1976,"strong, tough","сильный, крепкий","s░nap- (-w-) 'rough, fierce, violent'","sa█'o▒-na▒p- (-b-)","Nam 284, KED 869."
 629,"*m╥-t",1234,"impossible (adv.); bad, wicked","невозможно (нар.); плохой","m╥t [m╥s], m╥√il-","m╥t 1, m╥ti▒r- 2","Nam 215, 217, KED 635, 647."
 630,"*┼r", 684,"work, profession","работа, профессия","┼l","┼r","Nam 404, KED 1348."
 631,"*pu█r╞█r",1856,"possessions, estate","владения, состояние","","pu█r╞█r","HMCH 352."
 632,"*ta█sa▀▒r-", 359,"1 to govern, regulate 2 to improve, order, correct","1 управлять, регулировать 2 улучшать, упорядочивать, исправлять","tas╞ri- 1, tak:- 2","ta█sa▀▒r- 1, ta█sk- 2","Liu 194, 202, KED 386, 392."
 633,"*ma▀█n-╢i▒-",1346,"to stroke, rub","гладить, тереть","man√i-","ma▀█n-╢i▒-","Nam 199, KED 576."
 634,"*o█i'o▒-", 419,"to recite","декламировать","weu-","o█i'o▒-","Nam 387, KED 1223."
 635,"*pa▀█i-ha▀▒-", 153,"to bestow a favour","оказывать почести","pephul-","pa▀█iha▀▒-","Nam 252, KED 774."
 636,"*mёd-",1288,"to ask","спрашивать","mut- (-r-)","mёt- (-r-)","Nam 223, KED 675."
 637,"*kub╞i-ha▀-",1071,"to celebrate, glorify","прославлять, праздновать","","ku'╞i-ha▀-","Liu 85."
 638,"*sa▀█ra█╤",1906,"love","любовь","sara╤","sa▀█ra█╤","Nam 286, KED 871."
 639,"*t░▀n▒-", 356,"to love","любить","","t░▀s- (ta▀n▒a▀-)","Nam 144."
 640,"*ku█╢-", 823,"nasty","противный, плохой","kut- [ku╢-]","ku█╢-","Nam 64, KED 223."
 641,"*k╥b-", 544,"beautiful, lovely","красивый","kop- (-w-)","k╥p- (-w-)","Nam 52, KED 163."
 642,"*o▒i",1557,"lonely, orphan","одинокий, сирота","\Iwe,\i werop- (-w-)","o▒i, o▒i-ra▀█p- (-w-)","Liu 586, KED 1220, 1222."
 643,"*sїih",1955,"three","три","s╣t [s╣s]","sїi (sїih-)","Nam 302, KED 968."
 644,"*ta█-",2449,"five","пять","tasЇt [tasЇs]","ta█-, ta█-sa▀█s","Nam 131, KED 386."
 645,"*ni█r-ku▒p",1388,"seven","семь","ilgop","ni█r-ku▒p","Nam 124, KED 1350."
 646,"*jЇ▒rh",2635,"ten","десять","jЇl","jЇ▒r (jЇ▒rh-)","Nam 376, KED 1178."
 647,"*o▒n", 457,"hundred","","","o▒n",""
 648,"*╢╞▒m╞▒n", 246,"thousand","тысяча","","╢╞▒m╞▒n","Nam 437."
 649,"*a█r-p",  66,"front","перед","\Iap\i [aph]","a█rp","Nam 348, KED 1098."
 650,"*a█ra▒i",  25,"below, lower side","низ, нижняя сторона","ar▓","a█ra▒i","Nam 336, KED 1069."
 651,"*a▒nh", 461,"middle, inside","середина, внутренность","\Ian\i","a▒n (a▒nh-)","Nam 345, KED 1081. Cf. also dial. anak id. (KED 1068)."
 652,"*ka█'o▒n-ta▀▒i", 925,"middle","середина","kaun-de","ka█'o▒n-ta▀▒i","Nam 7, KED 22."
 653,"*s╥p",2672,"inner side","внутренняя сторона","","s╥p","Nam 310."
 654,"*p╞█th-, *pt╞▒-, *pti▒-",1833,"1 to burn, catch fire 2 to cauterize 3 to boil, steam","1 гореть, загораться 2 прижигать 3 варить, тушить","put(h)- 1, t:╞- 2, ╢:i- 3","p╞█th- 1, pt╞▒- 2, pti▒- 3","Nam 173, 180, 275, KED 523, 846, 1528."
 655,"*sa▀█r-",2565,"to burn, make a fire","зажигать, разводить огонь","sar╞-","sa▀█r-","Nam 291, KED 873."
 656,"*n┼m",1455,"host","хозяин","im-g╞m","n┼m","Nam 125, KED 1361."
 657,"*k╞█n▒╞█r-",1145,"1 soot 2 to be covered with soot","1 сажа 2 покрываться сажей","k╞╞r╞m 1, k╞╞l- 2","k╞█n▒╞█r╞█m 1","Nam 69, KED 240."
 658,"*na█p- / *nЇ█p-",1180,"level, wide","ровный, широкий","nap-╢ak","na█p- / nЇ█p-","Nam 99, 105, KED 311."
 659,"*ma▀█╢h-",1372,"1 to finish 2 finish, end","1 заканчивать 2 конец","ma╢hi- 1","ma▀█s-, ma▀╢h-, ma▀█╢ha▀▒- 1, ma▀█╢ha▀▒m 2","Nam 198, 205, 206, KED 568."
 660,"*pa█k-",1706,"to insert; to sew with a double stitch","вставлять; сшивать двойным швом","pak-","pa█k-","Liu 364, KED 710."
 661,"*pa█na▀▒r (/-r-)",1640,"needle","игла","pan╞l","pa█na▀▒r, para▀r","Nam 236, 238, KED 703."
 662,"*pa█s- / *pa█╢-",1716,"1 to be hurried, urgent 2 to make hurry","1 быть срочным, поспешным 2 торопить, спешить","pap:╞- 1, pap:i-ha- 2","pa█spa▀█- 1, pa█╢h- 2","Liu 371, 373, KED 707."
 663,"*pa█t(h)",1718,"field","поле","\Ipat\i \I[path]\i","pa█t, pa█th","Nam 244, 250, KED 741."
 664,"*pa▀▒ra▒-",1749,"to desire","желать, надеяться","para-","pa▀▒ra▒-","Nam 240, KED 704."
 665,"*pa▀█ra▀█-",1636,"to plaster, stick on","штукатурить, намазывать","par╞-","pa▀█ra▀█-","Nam 241, KED 706."
 666,"*pa▀▒r",  96,"fathom","сажень","p░l","pa▀▒r","Nam 246, KED 723. The modern form reflex a merger with MKor. p░r 'armful' (v. sub *p`░▒l▒╤a)."
 667,"*pjЇ▒", 584,"rice plant, grain of rice","рис, рисовое зерно","pjЇ","pjЇ▒","Nam 257, KED 774."
 668,"*pi█ra▀m", 156,"pigweed, Amaranthus","марь, амарант","pir╞m","pira▀m, pi█r╞▒m","Liu 411, 412, KED 852."
 669,"*pїri▒-", 190,"to divide, split open","расщеплять, раскрывать","par╞-, pїl-","pїri▒-","Liu 375, KED 706, 765, 766."
 670,"*ka▀▒m-", 717,"to close (eyes)","закрывать (глаза)","k░m-","ka▀▒m-","Nam 23, KED 50."
 671,"*t╥╢ha▀▒i",2265,"axe","топор","t╥k:i","t╥╢ha▀▒i, t╥╢ho▒i","Nam 158, KED 461."
 672,"*t╞▒m╞▒r-",2261,"rare","редкий","t╞mul-","t╞▒m╞█r-","Nam 171, KED 526."
 673,"*tha▀▒-",2379,"to receive","получать","tha-","tha▀▒-","Liu 710, KED 1685."
 674,"*t┼-",2649,"to forge, to cast","ковать, отливать (из металла)","","t┼-","Nam 178."
 675,"*t╞▒r-",2243,"to enter","входить","t╞l-","t╞▒r-","Nam 174, KED 534."
 676,"*ka▀▒r", 964,"reed","тростник","kal","ka▀▒r","Nam 20, KED 42."
 677,"*ka▒s", 738,"hat","шляпа","kat [kas]","ka▒t","Nam 18, KED 57."
 678,"*k╥r",1138,"reed, rush","тростник, камыш","kol-phul","k╥r","Nam 51, KED 160."
 679,"*ka▀█ra▒b-",1038,"to itch","зудеть, чесаться","karjЇp- (-w-)","ka▀█ra▒p-, ka▀rjap-, ka▀rjЇp- (-w-)","Liu 3, 4, KED 11"
 680,"*ka▀▒ra▒i", 888,"wild walnut","дикий грецкий орех","kar▓","ka▀▒ra▒i","Nam 11, KED 11."
 681,"*k╥r", 543,"valley","долина","k╥l","k╥r","Nam 51, KED 156."
 682,"*k╥ma▒",1130,"1 respect 2 to respect, pay respect","1 почести, почитание 2 почитать","komap- (-w-) 2","k╥ma▒ 1, k╥ma▒p- (-w-) 2","Liu 64, KED 141."
 683,"*kї-r-", 908,"to be thick, fertile, rich","быть густым, плодородным","kїl-","kїr-","Liu 47, KED 97."
 684,"*k╞▒s", 801,"certainly, without fail","точно, определенно","","k╞▒s","Nam 74."
 685,"*ki█phi▒-", 815,"deep","глубокий","\Ikip-\i [kiph-]","ki█phi▒-","Nam 80, KED 283."
 686,"*╢ur-", 253,"1 to string, bead 2 string, line","1 нанизывать 2 линия, веревка","╢ul 2","╢u█r-hjЇ█- 1, ╢u▒r 2","Nam 434, Liu 672, KED 1507. The noun is absent in Nam and HMCH, but adduced with high tone in Liu, while the derived verb is given with low tone both in Nam and Liu. The original accent is thus not quite clear."
 687,"*sa█m",2133,"hemp","конопля","sam","sa█m","Nam 293, KED 901."
 688,"*sor-",2139,"1 dish, vessel 2 bamboo basket","1 блюдо, сосуд 2 бамбуковая корзина","sor▓ 'a k. of saucer'","so█ra▒ ┌ so▒ra▒ 1, sor 2","Nam 307, Liu 462, 467, KED 972."
 689,"*so▒i",2552,"metal","металл, железо","swe","so▒i","Liu 469, KED 995."
 690,"*sЇ█r-",2098,"to wash, clean","мыть, очищать","sЇl-gЇt- (-╢-)","sЇ█r-","Liu 450, KED 950."
 691,"*s┼d-",1986,"to load","нагружать","s┼t- (s┼r-)","s┼t- (-r-)","Nam 327, KED 1055."
 692,"*ma▀▒r",1347,"edible seaweed","водоросли (съедобные)","mar╞m","ma▀▒r","Nam 201, KED 562."
 693,"*ma▀█rk-",1303,"clear, transparent","ясный, прозрачный","mak- [malk-]","ma▀█rk-","Nam 203, KED 587."
 694,"*pa█tha█╤",1818,"1 place 2 background, ground, texture","1 место 2 фон, основа","patha╤ 2","pa█tha█╤ 1","Nam 239, KED 710."
 695,"*na█rho▒-",1515,"slow, late","медленный, поздний","n╞ri-","na█rho▒-, n╞r╞i-","Nam 95, Liu 166, KED 366."
 696,"*na▀█ri▒-",1537,"to go down","опускаться","n▓ri-","na▀█ri▒-","Nam 92, KED 320."
 697,"*no█h-",1426,"to put, let go","класть, пускать","\Ino-\i [noh-]","no█h-","Nam 114, KED 353."
 698,"*njЇk",1175,"side","сторона","jЇk [njЇkh]","njЇk","Nam 108, KED 338."
 699,"*ї╢u-b-", 259,"to be indecisive, irresolute","быть нерешительным, колебаться","ї√up- (-w-)","","KED 1135."
 700,"*a▒╢h",2482,"reason","причина","","a▒╢h","Nam 350."
 701,"*ka▀█╢-",1064,"1 near 2 end, limit","1 близкий 2 конец, край, предел","kak:ap- (-w-) 1, ka√a╤ 2","ka█ska█p- (-w-) 1, ka▀█╢a▒i 2","Nam 16, 24, KED 3, 24."
 702,"*Ї█ri▒-",  67,"to be foolish, mistaken","быть глупым, ошибаться","Їri-sЇk-","Ї█ri▒-","Nam 361, KED 1129."
 703,"*Ї█p-", 409,"to carry on the back","нести на спине","Їp-","Ї█p-","Liu 554, KED 1149."
 704,"*a█pi▒",  80,"father","отец","abЇ√i, (vulg.) abi","a█pi▒","Nam 338, KED 1074."
 705,"*sjїi-",2090,"whitish","беловатый","s╣-","sjїi-","Nam 306, KED 963."
 706,"*Ї█r╞█-nu█k-",  70,"to be spotted, ornamented","быть пятнистым, украшенным","Їlluk, ЇllЇ╤","Ї█r╞█-nu▒k-","Nam 360, KED 1143, 144."
 707,"*a█rpha▀█-",  30,"to be ill","болеть","aph╞-","a█rpha▀█-","Nam 347, KED 1078."
 708,"*░n-",  75,"to hold in the arms","держать в руках","░n-","░n-","Nam 345, KED 1083."
 709,"*a█bo▒r-",   1,"to unite, join","объединять, соединять","aul╞-, Їul╞-","a█'o▒r-","Nam 340, KED 1076, 1134."
 710,"*ara▀-m",  24,"fathom, the span of both arms","сажень","ar╞m","ara▀m","Nam 335, KED 1071."
 711,"*Ї▒╢-", 455,"to be in disorder, confusion","быть в беспорядке, смятении","Ї√irЇp- (-w-)","Ї▒╢╞▒rЇ█p- (-w-) 2","Nam 365, KED 1136."
 712,"*ik╞r-", 634,"to burn lively; to be deeply flushed","ярко гореть; сильно краснеть","ig╞l-kЇri- 1, ig╞l-ig╞l-ha- 1, 2","","KED 1319."
 713,"*╢ak-", 271,"fish spear","острога, гарпун","╢ak-sal, ╢ak-su╤i","","KED 1387."
 714,"*╢a▀█ra▀█-",2578,"1 to hang up, strangle 2 handle","1 подвешивать, завязывать, стягивать 2 ручка, рукоятка","╢ar╞- 1, ╢aru 2","╢a▀█ra▀█- 1, ╢a▀█ro█, ╢a▀█ra▀█, ╢a▀█r 2","Nam 412, 416, KED 1376."
 715,"*╥r",2533,"early ripening","рано созревающий","╥l","╥r","Liu 579, KED 1207."
 716,"*╢░▀╢i", 343,"penis","penis","╢░√i (orth. ╢░▀╢i), ╢ot [╢o╢]","","KED 1383, 1488."
 717,"*╢jЇ▒k-", 288,"shirt, coat","рубашка, куртка","╢Їksam, ╢Їgori","╢jЇ▒k-sa█m","Nam 425, KED 1418, 1425."
 718,"*tjЇk-",2277,"to note down, to write","записывать","╢Їk-","tjЇk-","Nam 155, KED 1424."
 719,"*ti▒-",2315,"to fall (of flowers)","опадать (о цветах)","╢i-","ti▒-","Nam 178, KED 1527."
 720,"*╢iri-", 301,"to be foul, emit a foul odour","плохо пахнуть","╢iri-","","KED 1531."
 721,"*╢irk-",2241,"tough, firm","прочный, крепкий","╢ilgi-","╢irk╞i-","Liu 686, KED 1551."
 722,"*ni█rk-",1470,"to read","читать","ik- [ilk-]","ni█rk-","Nam 125, KED 361."
 723,"*╢ёr-", 337,"1 to shrink, grow less 2 to starve, be famished","1 уменьшаться, сокращаться 2 голодать","╢ёl- 1, ╢ёri- 2","╢uri-hi- 1 (tr.), ╢ёri- 2","Liu 670, KED 1496, 1508."
 724,"*╢ha▀▒-", 284,"flint, silicon","кремень, кремний","╢hadol","╢ha▀▒-to█r","Liu 690, KED 1562."
 725,"*╢a▀▒mh-", 268,"to endure, to bear","терпеть, выносить","╢h░m-","╢ha▀▒m-","Nam 448, KED 1571."
 726,"*╢a▀█rhi█-",2582,"to make ready, prepare","подготавливать, готовить","╢hari-","╢ha▀█ri█-","Nam 447, KED 1563."
 727,"*╢ha▀▒╢-",1992,"to search, look for","искать","╢hat- [╢ha╢-]","╢ha▀▒╢-","Nam 449, KED 1576."
 728,"*Ї█rk-", 447,"to wrap, tie up","завязывать, заворачивать","Їlk-","Ї█rk-","Nam 368, KED 1147."
 729,"*Ї█r'u█- / *Ї█r╞█-", 590,"1 to flirt 2 to marry 3 to fondle, play with 4 to have sexual intercourse","1 соблазнять, кокетничать 2 жениться 3 ласкать, заигрывать 4 иметь половые сношения","Їr╞- 3","Ї█r'u█-, Їru-, Їr╞- 1, 2, 4","Nam 360, 361, 367, KED 1127."
 730,"*i█k╞▒i-", 681,"to overcome","побеждать, превосходить","igi-","i█k╞▒i-, i█ki▒-","Nam 397, 398, KED 1319."
 731,"*┼r-", 596,"1 to become 2 to happen","1 становиться 2 случаться","┼l- 2, irЇ-na- 1","┼r- 1","Nam 405, KED 1351, 1356."
 732,"*ima-", 599,"1 now 2 lately, nowadays","недавно, на днях","imi 1, ima-√Їk (╢Їk 'time') 2","","KED 1328, 1329."
 733,"*i█ra▒╤", 687,"furrow","межа, борозда","ira╤","i█ra▒╤","Nam 399, KED 1324."
 734,"*╞rp-", 609,"to chant, sing songs","петь, декламировать","╞p- [╞lph-]","╞rp-","Nam 396, KED 1302."
 735,"*njЇ█th-",1460,"shallow, superficial, light","мелкий, поверхностный, легкий","jЇt- [jЇth-], jat- [jath-]","njЇ█th-","Nam 109, KED 1120, 1189."
 736,"*jЇ", 604,"a reef, a rock in the sea","риф, скала в море","\IjЇ\i","","KED 1160."
 737,"*ska▀█-",1999,"to get thin, diminish","уменьшаться, утончаться","k:a-","ska▀█-","Nam 17, KED 6."
 738,"*ka▀▒r-", 711,"to change","менять","kal-","ka▀▒r-","Nam 20, KED 43."
 739,"*ska▀▒r-",1952,"to spread out (as mat)","расстилать (напр. циновку)","k:al-","ska▀▒r-","Nam 22, KED 44."
 740,"*ka▀█ri▒-",1131,"to cover, to shield","покрывать, загораживать","kari-","ka▀█ri▒-","Nam 12, KED 13."
 741,"*ka▀█th-", 781,"to be similar, resemble","быть похожим","kat- [kath-]","ka▀█th-, ka▀▒t-","Nam 20, 28, KED 64."
 742,"*ka█sk- / kЇ█sk-", 981,"1 to cut, trim 2 to break off","1 резать, подрубать 2 отламывать","k:ak:- 1, k:Їk:- 2","ka█sk- 1, kЇ█sk- 2","Nam 26, 27, 39, KED 35, 91."
 743,"*kjЇs-", 777,"to suffer, undergo, experience","подвергаться, страдать","kjЇk:-","kjЇs-","Nam 44, KED 114."
 744,"*kЇ█m╞▒nko▒", 914,"a Korean harp of seven strings","корейский семиструнный музыкальный инструмент","kЇmungo","kЇ█m╞▒nko▒","Nam 32, KED 84."
 745,"*kjЇra▀i", 821,"relatives","родственники","kjЇre","kjЇ█ra▀█i","Nam 41, KED 111."
 746,"*k┼m", 795,"steam, vapour, breath, smell","пар, дыхание, запах","k┼m","k┼m","Liu 118, KED 281."
 747,"*kapo", 989,"fish bladder, (KED) sausage stuffed in a fish bladder","рыбий пузырь","kabo","","KED 18."
 748,"*╢ar",2581,"well, favourably","хорошо, благоприятно","╢al","╢ar","Liu 644, KED 1392."
 749,"*╢ar", 221,"sack","мешок","╢aru","╢ar","Nam 416, KED 1376."
 750,"*kur",2749,"oak-tree, acorn","дуб, желудь","kul (kul-p░m 'acorn')","kur-pam 'acorn'","Liu 89, KED 216."
 751,"*psk╞▒-", 172,"to extinguish, go out (fire)","тухнуть, гаснуть","k:╞-","psk╞▒-","Nam 71, KED 233."
 752,"*k╞█n╞█r-", 577,"to take care of, to look after","заботиться, присматривать за","k╞n╞r╞-","k╞█n╞█r'u█-","Nam 66, KED 232."
 753,"*korom", 932,"clothes string, lace","тесемка","kor╞m","korom","Liu 63, KED 140."
 754,"*k╞█r╞█-", 570,"to unfasten","развязывать","k:╞r╞-","k╞█r╞█-, k╞█ra▀█-","Nam 66, 67, KED 236."
 755,"*k╥r- (?)", 859,"to become hollow","становиться полым, пустым","k╥l-","","SKE 122."
 756,"*ko█rh-", 559,"to be hungry; to be empty","быть голодным; быть пустым","koph╞-, kol- [kolh-]","ko█r-pha▀█-, ko█rh-","Nam 51, KED 152, 160."
 757,"*ko▒t", 894,"place, locality","место, местность","kot [kos]","ko▒t","Nam 50, KED 164."
 758,"*ku╤tu╤-", 927,"rump, buttocks","круп, ягодицы","ku╤du╤i","ku╤tu╤'i","Nam 91, KED 222."
 759,"*kom(h)",1080,"finger-nail","ноготь","son-khom (SKE 134)","","A dialectal form."
 760,"*m░r-",1258,"to refrain, shun, avoid","отказываться (от ч.-л.), воздерживаться, не сметь","m░l-","m░r-","Nam 200, KED 582."
 761,"*ma▀█r-",1259,"to roll up, curl up","свертывать, скручивать","\Imal-\i","ma▀█r-","Nam 202, KED 582."
 762,"*mЇk-",1332,"a big black snake","большая черная змея","mЇk-kuri, mЇk-kurЇ╤i","","KED 609."
 763,"*m╞isk╞-",   0,"to glide, slide","скользить","mik:╞rЇ-√ida, mik:╞n hada","m╞█isk╞█rЇ▒p- (-w-)","Nam 345. [Cf. Mong. m╙lt 'вскользь']"
 764,"*moka-",1360,"1 bundle 2 numerative for bundles","1 связка 2 счетное слово для связок","mogami 1, mog▓ 2","","The forms are quoted from SKE 150 (where they are incorrectly compared with Mong. bo┴-╢a etc.); KED 627 lists only mog▓ "all together, in the lump"."
 765,"*mo█ra▀▒-",1325,"to be unable, ignorant","не уметь, не знать","mor╞-","mo█ra▀▒-","Nam 215, KED 630."
 766,"*mu█i-",1309,"to dislike, hate","не любить, ненавидеть","mip- (-w-), miwЇ-ha-","mui-, m╞█i-p- (-w-)","Nam 224, 233, KED 699."
 767,"*mu█k-",1340,"to become old, stale; to stay, remain","стариться; оставаться","muk-","mu█k-","Liu 332, KED 668."
 768,"*narot",1495,"whiskers, beard","бакенбарды, борода","narut [narus]","narot, naros","Liu 132, KED 288."
 769,"*na▀boi",1166,"again; better","снова; лучше","","na▀'oi","Nam 93."
 770,"*nї-",1418,"younger relative (in compounds)","младший родственник (в сложениях)","nї- [nї-s-] 'younger brother' (in compounds)","nЇ-s-harmi 'wife of grandfather's younger brother'","Nam 105, KED 336."
 771,"*nЇkori",1540,"badger","барсук","nЇguri","nЇkori","Nam 103, KED 329."
 772,"*njЇ█ki▒- / *nЇ█iki▒-",1196,"to consider, regard","считать, рассматривать, предполагать","jЇgi-","nЇ█ki▒-, njЇki-, nЇiki-","Nam 103, 106, KED 1161. Cf. also na▒ki▒-ha▀-, mod. n▓gi-ha- (Nam 86, KED 316) 'to bet, gamble'."
 773,"*si█bu▒r",2089,"edge","край, конец","siul (arch.), sul","si█'u▒r, si█'u▒rk","Liu 497, KED 1018, 1040."
 774,"*ni-", 666,"to carry on the head","нести на голове","\Ii-\i","ni-","Liu 169, KED 1321."
 775,"*ni█ki█-",1451,"to knead, mix","месить, смешивать","igi-","ni█ki█-","Nam 119, KED 1319."
 776,"*(n)┼r-",1453,"to clear out, rinse","вычищать, промывать","┼l- (NKor. \Inil-)\i","┼r-","Nam 405, KED 1351."
 777,"*s╞r-",2710,"to lay eggs (of insects, fish)","класть яйца (о насекомых или рыбах)","s╞l-","s╞r-","Liu 487, KED 1027. Cf. also mod. swi 'eggs of fly' (with a consonant alternation similar to the one in the reflexes of PA *mё▒ro q. v.)."
 778,"*ni█╢-",1387,"to forget","забывать","\Iit-\i [i╢-]","ni█╢-","Nam 127, KED 1370."
 779,"*n╞k-",1233,"jackal, (KED) wolf","шакал; волк","n╞kt▓","","KED 367."
 780,"*n╞ktai",1197,"wild boar, pig","дикий кабан","n╞kt▓","","SKE 169."
 781,"*no█r-",1492,"1 song 2 to take leisure, amuse oneself","1 песня 2 развлекаться, отдыхать","nor▓ 1, n╥l- 2","no█r'a▒i 1, n╥r- 2","Nam 113, KED 340, 347."
 782,"*no█ph-",1202,"to be high, elevated","быть высоким, приподнятым","nop- [noph-]","no█ph-","Nam 113, KED 352."
 783,"*no█ra▀█",1226,"a deer, a river-deer","олень, речной олень","noru","no█ra▀█","Nam 111, KED 341."
 784,"*nu▒(╤)-",1494,"to defecate, urinate","испражняться, мочиться","nu-","nu▒-","Liu 161, KED 356."
 785,"*nu█d-",1478,"to burn, singe","жечь, палить","nёt- (nёr-)","nu█t- (nu█r-)","Liu 165, KED 364."
 786,"*op- / *up-", 625,"to pick out, dig out","вытаскивать, выкапывать","\Iobi-,\i ubi-","upui-, up╞i-","Liu 593, KED 1201, 1239."
 787,"*op╞-", 442,"plentiful","обильный, многочисленный","obut-hada [obus-], ob╞t-hada","","KED 1201."
 788,"*╥r",1604,"strands of rope","пряди веревки","╥l","╥r","Liu 579, KED 1207."
 789,"*o▒ra█pi▒", 650,"brother","брат","orabi","o▒ra█pi▒","Liu 575, KED 1197."
 790,"*ori", 648,"a fishing hook with several barbs","рыболовный крючок с зазубринами","ori","","SKE 178. The noun is found only is absent from major MKor. and modern Korean dictionaries and thus somewhat dubious."
 791,"*par-",1624,"carp","карп","palga╤i","parka╤'i","Liu 368, KED 724 (the word is attested in MKor. with -a-, not -a▀-, thus Martin's derivation: "a red one" cannot be correct)."
 792,"*p░▀rb-",1741,"to tread, trample","ступать, топтать","p░p- [p░lp-]","p░▀rp- (-w-)","Nam 247, KED 732."
 793,"*pap",1629,"refuse, scraps, dust","мусор, пыль","\Ipap\i","","KED 734."
 794,"*spa▀█ra▀█-",1907,"quick, swift","быстрый","p:ar╞-","spa▀█ra▀█-","Nam 242, KED 706."
 795,"*pa█ti█",1730,"trousers","брюки","pa√i","pa█ti█","Nam 237, Liu 360, KED 709."
 796,"*pїr-",1625,"to be opened, separated","быть широко открытым, разделенным","pїl-, pїlli-, pal╞- (trans.)","pїr-","Nam 256, KED 706, 765, 766."
 797,"*pЇ-",1875,"birch","береза","pЇ-n-namu","","SKE 199. Cf. also MKor. phi▒-na█mo█, mod. phi-namu (Nam 465, KED 1772) 'linden tree'."
 798,"*si█s-, *s╞▒s-",2062,"1 to wash 2 to cleanse, wipe off","1 мыть 2 чистить, стирать","\Is:it-\i \I[s:is-]\i 1, 2","si█s- 1, s╞▒s- 2","Nam 322, 328, KED 1065."
 799,"*pi█╢-", 128,"to mix up, brew","месить (тесто), готовить (рисовое вино)","\Ipit-\i [pi╢-]","pi█╢-","Liu 417, KED 864."
 800,"*pa▀█n▒a▀▒-",1181,"to shine brightly, glare","сверкать, сиять","nun-pusi-","pa▀█n▒a▀▒-","Nam 242, KED 362."
 801,"*to╤-",2467,"1 bundle 2 to bind","1 связка 2 обвязывать, связывать","to╤ 1, to╤'i- 2","to╤ 1","Liu 232, KED 484, 493."
