"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
  83, 119,"孔","通合一上董溪","1313 2696","khuŋ 2","khuŋ 2","khoŋ 2","khuŋ 2","khuŋ 2","khoŋ 2","khɔuŋ 2","khoŋ 2","khoŋ 21","khoŋ 2","khaŋ 2; khən 2","khuŋ 2","khuŋ 2","huŋ 21","kɔŋ 2  (lit.); kaŋ 2; kaŋ 11","khoŋ 21","khuŋ 2","khoŋ 3","khuŋ 2"
  84, 120,"少","A: 效開三上小書; B: 效開三去笑書","A: 1421 1376; B: 1421 1377","A: ṣau 2; B: ṣau 3","A: ṣɔ 2; B: ṣɔ 3","A: ṣau 2; B: ṣau 3","A: sau 2; B: sau 3","A: sau 2; B: sau 3","A: sau 2; B: sau 3","A: sɔ 2; B: sɔ 3","A: sä 2; B: sä 31","A: śiɛ 21; B: śiɛ 31","A: ṣau 2; B: ṣau 31","A: śia 2; B: śia 31","A: sɛu 2; B: sɛu 31","A: sau 2; B: sau 3","A: šiu 21; B: šiu 31","A: siu 31; B: siu 31","A: siəu 21; B: siəu 31","A: sieu 2  (lit.); chieu 2; B: sieu 31","A: sɔ 3; B: sɔ 3","A: šiau 2; B: šiau 3"
  85, 121,"尤","流開三平尤云","1429 1614","iou 12","iou 12","iou 12","iou 1","iou 12","iəu 12","iôɨ 12","iöy 12","ɦiau 12","iôu 12","iû 12","iu 31","jiu 11","jau 12","iu 12","iu 12","ieu 12","iɨ 1","iou 12"
  86, 122,"尺","梗開三入昔昌","1439 0479","c̣hî̲ 2","c̣hî̲ 11","chi̲ 11","chəʔ 41","chi̲ 12","chi̲ 12","chəʔ 4","cha̲ʔ 41","chei 41","c̣hî̲ 4","c̣hî̲ 12 (lit.); tho 11","chak 41","chak 41","čhɛk 43","chîk 41 (lit.); chiɔk 41 (lit.); chioʔ 41","chieʔ 41","cheiʔ 41 (lit.); caʔ 41","chaʔ 4","čhi 42"
  87, 123,"屯","臻合一平魂定","1470 2159","thuən 12","thuẽ 12","thuẽ 12","thuŋ 1","thən 12","tən 3","thən 12","dən 12","dö 12","tən 12","duən 32","thən 12","tun 2","thyn 12","tun 12","tuŋ 11","touŋ 31","təŋ 1","tuən 12"
  88, 124,"巴","假開二平麻幫","1572 0011","pa 11","pa 11","pa 11","pa 1","pa 11","pa 11","pâ 11","po 11","po 11","pa 11","po 11","pa 11","pa 11","pa 11","pa 11","pa 11","pa 11","pa 1  (lit.); po 1","pa 1"
  89, 127,"弔","效開四去嘯端","1713 1424","tiau 3","tiɔ 3","tiau 3","tiau 3","tiau 3","tiau 3","tiɔ 3","tiä 31","tiɛ 31","tiau 31","tiə 31","tiɛu 11","tiau 3","tiu 31","tiau 31","tiəu 31","tieu 31","tiɔ 3","tiau 3"
  90, 128,"引","臻開三上軫以","1714 2149","in 2","iẽ 2","iẽ 2","iŋ 2","i 2","in 2","ĩ XH","in 2","ɦiŋ 22","in 2","in 2","in 2","jin 2","jan 22","in 2","iŋ 21","iŋ 2","iiŋ 32","iən 2"
  91, 129,"心","深開三平侵心","1800 2135","śin 11","śiẽ 11","śiẽ 11","śiŋ 1","śin 11","śin 11","śĩ 11","sin 11","saŋ 11","sin 11","śin 11","śin 11","sim 11","šam 11","sim 11","sim 11","siŋ 11","siŋ 1","siəm 1"
  92, 131,"戶","遇合一上姥匣","2073 0932","xu 3","xu 3","xu 3","xu 3","xu 3","fu 3","xu 3","ɦəu 32","vu 22","fu 31","ɣəu 32","фu 32","fu 3","uu 32","hɔ 32","hou 22","xou 32","ɦu 32","xu 3"
  93, 132,"手","流開三上有書","2087 1542","ṣou 2","ṣou 2","ṣou 2","sou 2","sou 2","səu 2","sôɨ 2","söy 2","śiu 21","ṣôu 2","śiû 2","səu 2","su 2","šau 21","siu 2  (lit.); chiu 2","chiu 21","chieu 2","sôɨ 3","šiou 2"
  94, 133,"扎","咸開二入洽莊","2089 0052","c̣a 11","c̣a 11","ca 11","caʔ 41","ca 12","ca 12","caʔ 4","caʔ 41","ca 41","ca 4","ca 12","cat 41","cap 41","čāt 43","cap 41","cap 41","caʔ 41","caʔ 4","ča 42"
  95, 134,"支","止開三平支章","2388 0441","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 1","ci̲ 11","ci̲ 11","ci̲ 11","cü 11","ci̲ 11","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 11","či 11","ci 11","ci 11","cie 11","ci̲ 1","či̲ 1"
  96, 135,"文","臻合一平文微","2429 2196","uən 12","uẽ 12","vẽ 12","vuŋ 1","uən 12","uən 12","uən 12","vən 12","vaŋ 12","uən 12","uən 12","un 31","vun 12","man 12","bun 12","buŋ 12","uŋ 12","vəŋ 32","vən 12"
  97, 136,"斗","流開一上厚端","2435 1502","tou 2","tou 2","tou 2","tou 2","tou 2","təu 2","tôɨ 2","töy 2","teu 21 (lit.); tau 21","tôu 2","tie 2","tɛu 2","tɛu 2","tau 21","tu 2  (lit.); tau 2","tau 21","tau 2","tôɨ 3","tou 2"
  98, 137,"斤","臻開三平欣見","2443 2118","ćin 11","ćiẽ 11","ćiẽ 11","ćiŋ 1","ćin 11","ćin 11","ćĩ 11","ćin 11","ćiaŋ 11","ćin 11","ćin 11","ćin 11","kin 11","kan 11","kun 11","kɨŋ 11","kyŋ 11","ćiŋ 1","kiən 1"
  99, 138,"方","宕合三平陽非","2455 2232","faŋ 11","faŋ 11","faŋ 11","fã̲ 1","faŋ 11","faŋ 11","fâŋ 11","fa̲ŋ 11","xuɔ 11","fan 11","xaŋ 11","фuɔŋ 11","fɔŋ 11","fɔŋ 11","hɔŋ 11 (lit.); hŋ 11","huaŋ 11","xuɔŋ 11","fã̲ 1","faŋ 1"
 100, 139,"日","臻開三入質日","2480 0523","ẓî̲ 3","ẓî̲ 3","ə̂ 11","zəʔ 41","ɨ 12","zi̲ 12","ləʔ 4","zôʔ 42","zai 42","ẓî̲ 4","i 12","lət 41 (lit.); ńit 41","ńit 41","jat 42","ʒit 42","zik 42","liʔ 42","zôʔ 42 (lit.); ńîʔ 42","ži 43"
 101, 141,"月","山合三入月疑","2588 0399","ye 3","ye 3","ye 11","yəʔ 41","ye 12","ye 12","yəʔ 4","yôʔ 42","ńy 42","ye 4","uɛ 31","ńyɔt 41","ńiat 42","jyt 42","ŋuat 42 (lit.); ŋeʔ 42","gueʔ 42","ŋuɔʔ 42","yîʔ 42","ye 43"
 102, 142,"木","通合一入屋明","2606 0759","mu 3","mu 3","mu 11","məʔ 41","moŋ 3","mu 12","mɔʔ 4","moʔ 42","mo 42","mo 4","mû 12","muk 41","muk 41","muk 42","bɔk 41 (lit.); bak 42","bak 42","muʔ 42","moʔ 42","mu 43"
 103, 143,"欠","咸開三去釅溪","2944 1871","ćhian 3","ćhiã 3","ćhiã 3","ćhiɛ 3","ćhian 3","ćhian 3","ćhĩ 3","ćhî 31","ćhi 31","ćhiẽ 31","ćhî̃ 31","ćhiɛn 31","khiam 3","him 31","khiam 31","khiəm 31","khieŋ 31","ćhî 3","khiem 3"
 104, 144,"止","止開三上止章","2972 0461","c̣î̲ 2","c̣î̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","cü 2","ci̲ 21","c̣î̲ 2","c̣î̲ 2","ci̲ 2","ci̲ 2","či 21","ci 2","ci 21","ci 2","ci̲ 3","či̲ 2"
 105, 145,"歹","蟹開一平咍端","2983 1044","tai 2","tɛ 2","tɛ 2","tai 2","tai 2","tai 2","tɛ 2","te̲ 11","","tai 2","ta 2","tai 2","tai 2","tāi 21","tai 2  (lit.); paĩ 2","tai 21","phai 2","te̲ 1",""
 106, 147,"比","止開三上旨幫","3024 0532","pi 2","pi 2","pi 2","pi 2","pi 2","pi 2","pi 2","pi 2","pei 21","pi 2","pi 2","pi 2","pi 2","pei 21","pi 2; pi 32","pi 21","pi 2","pi 3","pi 2; phi 12"
 107, 148,"毛","效開一平豪明","3029 1291","mau 12","mɔ 12","mau 12","mau 1","mau 12","mau 12","mɔ 12","mä 12","mз 12","mau 12","mə 12","mau 31","mau 11","mou 12","mau 12 (lit.); mɔ 12; mŋ 12","mo 12","mɔ 12","mɔ 32","mau 12"
 108, 150,"水","止合三上旨書","3055 1208","ṣuei 2","ṣuei 2","fei 2","suei 2","suei 2","suei 2","suəi 2","se̲ 2  (lit.); sü 2","si̲ 21","śyei 2","śy 2","sui 2","sui 2","šö̲y 21","sui 2  (lit.); cui 2","cui 21","cuei 2","sü 3","šuei 2"
 109, 151,"火","果合一上果曉","3499 0307","xuo 2","xuə 2","xuo 2","xuə 2","xo 2","xo 2","xo 2","həu 2","fu 21","xo 2","xû 2","фuo 2","fɔ 2","fɔ 21","ho 2  (lit.); he 2; hɔ̃ 2","hue 21","xuɔ 2  (lit.); xuei 2","hu 3","xuo 2"
 110, 152,"爪","A: 效開二上巧莊; B: 效開二上巧莊","A: 3629 1355; B: 3629 0116","A: c̣au 2; B: c̣ua 2","A: c̣ɔ 2; B: c̣ua 2","A: cau 2; B: pfa 2","A: cau 2; B: cua 2","A: cau 2; B: cau 2","A: cau 2; B: cau 2","A: cɔ 2; B: cɔ 2  (lit.); cuâ 2","A: cä 2; B: cä 2","A: cɔ 21; B: cɔ 21","A: cau 2; B: cau 2","A: cə 2; B: cə 2","A: cau 2; B: cau 2","A: cau 2; B: cau 11","A: čāu 21; B: čāu 21","A: ʒiau 2  (lit.); niaũ 2; B: ʒiau 2  (lit.); hiaũ 2","A: ziəu 21; B: ziəu 21","A: cɔ 2; B: cau 2","A: cɔ 3; B: cɔ 3","A: čau 2; B: čua 2"
 111, 153,"父","遇合三上噳奉","3637 0784","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","vu 32","vo̲y 22","fu 31","ɣəu 32","фu 32","fu 3","fu 32","hu 32 (lit.); pe 32","pe 22","xu 32","vu 32","fu 2"
 112, 156,"片","山開四去霰滂","3651 1784","phian 3","phiã 3","phiã 3","phiɛ 3","phian 3","phian 3","phî̃ 3","phî 31","phi 31","phiẽ 31","phî̃ 31","phiɛn 2","phiɛn 2","phin 31","phian 31 (lit.); phĩ 31","phieŋ 31","phieŋ 31","phî 3",""
 113, 157,"牙","假開二平麻疑","3660 0109","ia 12","ia 12","ia 12","ia 1","ia 12","ia 12","iâ 12","ia̲ 12 (lit.); ŋa̲ 12","ŋo 12","ia 12 (lit.); ŋa 12","ŋo 12","ŋa 31","ŋa 12","ŋa 12","ga 12 (lit.); ge 12","ge 12","ŋa 12","ŋa 32","a 12"
 114, 158,"牛","流開三平尤疑","3662 1576","niou 12","ńiou 12","ńiou 12","niou 1","niou 12","ńiəu 12","niôɨ 12","ńiöy 12","ŋau 12","ńiôu 12","ńiû 12","ńiu 31","ńiu 12","ŋau 12","giu 12 (lit.); gu 12","gu 12","ŋieu 12 (lit.); ŋu 12","ńiɨ 32","iou 12"
 115, 159,"犬","山合四上銑溪","3689 2002","ćhyan 2","ćhyã 2","ćhyã 2","ćhyɛ 2","chuan 2","ćhyan 2","ćhyî̃ 2","ćhiö 2","ćhy 21","ćhyẽ 2","thuĩ 2","ćhyɔn 2","khian 2","hyn 21","khian 2","khieŋ 21","kheiŋ 2","ćhyö 1","khyen 2"
 116, 160,"王","宕合三平陽云","3769 2399","uaŋ 12","uaŋ 12","uaŋ 12","vã̲ 1","uaŋ 12","uaŋ 12","uâŋ 12","ɦua̲ŋ 12","ɦyɔ 12","uan 12","aŋ 12","uɔŋ 31","vɔŋ 12","uɔŋ 12","ɔŋ 12","uaŋ 12","uɔŋ 12","uã̲ 32","uaŋ 12"
 117, 161,"丙","梗開三上梗幫","0014 2512","piŋ 2","piŋ 2","piŋ 2","piŋ 2","pin 2","pin 2","pĩ 2","pin 2","peŋ 21","pin 2","pin 2","pin 2","piaŋ 2","pîŋ 21","pîŋ 2","piã 21","piŋ 2","piŋ 3","piəŋ 2"
 118, 162,"世","蟹開三去祭書","0013 0507","ṣî̲ 3","ṣî̲ 3","ṣî̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","sü 11","sei 31","ṣî̲ 31","ṣî̲ 31","si̲ 31","si̲ 3","šai 31","si 31; se 31","si 31","sie 31","si̲ 1","ši 3"
 119, 164,"且","假開三上馬清","0011 0357","ćhie 2","ćhie 11","ćhie 2","ćhiɛ 2","ćhie 12","ćhie 2","ćhî 2","chia̲ 2","chei 21","chie 2","ćhio 2","ćhia 2","chia 2","čhɛ 21","chia 2","chia 21","chia 2","chi 1","chie 2"
 120, 165,"丘","流開三平尤溪","8002 1601","ćhiou 11","ćhiou 11","ćhiou 11","ćhiou 1","ćhiou 11","ćhiəu 11","ćhiôɨ 11","ćhiöy 11","ćhiau 11","ćhiôu 11","ćhiû 11","ćhiu 11","khiu 11","jau 11","khiu 11","khu 11","khieu 11","ćhiɨ 1",""
 121, 167,"主","遇合三上噳章","0031 0857","c̣u 2","c̣u 2","pfu 2","cu 2","ću 2","cu 2","cu 2","cü 2","ci̲ 21","ćy 2","ty 2","ćy 2","cu 2","čy 21","cu 2","cu 21","cy 2","cü 3",""
 122, 168,"乍","假開二去禡崇","0038 0061","c̣a 3","c̣a 3","ca 3","ca 3","ca 3","ca 3","câ 3","zo 32","ʒo 32","ca 31","ʒo 32","","ca 3","ča 32","ca 32","ca 31","ca 31","co 3","ča 3"
 123, 169,"乏","咸合三入乏奉","0040 0026","fa 12","fa 12","fa 12","faʔ 42","fa 12","fa 12","faʔ 4","vaʔ 42","ɦo 42","fa 4","xua 31","фuat 41","fat 42","fat 42","huat 42","huek 42","xuaʔ 42","vaʔ 42",""
 124, 171,"以","止開三上止以","0110 0717","i 2","i 11","i 11","i 2","i 2","i 2","i 2","i 11","ɦi 22","i 2","i 2","i 2","ji 3","ji 22","i 2","i 21","i 2","i 1","i 2"
 125, 172,"付","遇合三去遇非","0102 0782","fu 3","fu 3","fu 11","fu 3","fu 3","fu 3","fu 3","fu 31","fo̲y 31","fu 31","xəu 31","фu 31","fu 3","fu 32","hu 31","hu 12","xou 31","fu 3","fu 3"
 126, 175,"他","果開一平歌透","0100 0036","tha 11","tha 11","tha 11","tha 1","tha 11","tha 11","thâ 11","tha 11","thɔ 11","tha 11","tho 11","tha 11","tha 11","tha 11","to 12 (lit.); thã 11","tha 11","tha 11","tha 1","thuo 1"
 127, 176,"仗","宕開三上養澄","0101 2277","c̣aŋ 3","c̣aŋ 3","c̣aŋ 3","cã̲ 3","caŋ 3","caŋ 3","câŋ 3","zaŋ 32","ʒ́i 22","c̣an 31 (lit.); c̣an 32","daŋ 32","chɔŋ 32; cɔŋ 31","cɔŋ 3","čö̲ŋ 32","tiɔŋ 32","ciaŋ 22","tuɔŋ 32","cã 3","čiaŋ 3"
 128, 177,"代","蟹開一去代定","0108 1049","tai 3","tɛ 3","tɛ 3","tai 3","tai 3","tai 3","tɛ 3","de̲ 32","de̲ 32","tai 31","due 32","thai 32","thɔi 3","tɔi 32","tai 32 (lit.); te 32","thoi 31","tai 32","te̲ 32","tai 3"
 129, 178,"令","梗開三去勁來","0109 2556","liŋ 3","liŋ 3","liŋ 3","liŋ 3","nin 3","nin 3","lĩ 3","lin 32","leŋ 32","nin 32","nin 32","lin 32","lin 3","lîŋ 32","lîŋ 32","leŋ 22","leiŋ 32","liŋ 32","liəŋ 3"
 130, 180,"仙","山開三平仙心","0103 1872","śian 11","śiã 11","śiã 11","śiɛ 1","śian 11","śian 11","śĩ 11","sî 11","śi 11","siẽ 11","śî̃ 11","śiɛn 11","siɛn 11","šin 11","sian 11","sieŋ 11","sieŋ 11","sî 1","sien 1"
 131, 182,"充","通合三平東昌","0339 2669","c̣huŋ 11","c̣huŋ 11","pfhoŋ 11","chuŋ 1","choŋ 11","choŋ 11","chɔuŋ 11","choŋ 11","ćhyoŋ 11","c̣hoŋ 11","ćhin 11","chuŋ 11","chuŋ 11","čhuŋ 11","chiɔŋ 11","choŋ 11","chyŋ 11","choŋ 1","čhiuŋ 1"
 132, 183,"兄","梗合三平庚曉","0338 2716","śyŋ 11","śyŋ 11","śyŋ 11","śyŋ 1","śioŋ 11","śyoŋ 11","śiɔuŋ 11","śioŋ 11","śyoŋ 11","śioŋ 11","śyn 11","śiuŋ 11 (lit.); śiaŋ 11","hiuŋ 11","hîŋ 11","hîŋ 11","hiã 11","xiŋ 11 (lit.); xiaŋ 11","śioŋ 1","xiuŋ 1"
 133, 185,"冊","梗開二入麥初","0374 0153","chô 3","c̣hei 11","chei 11","chaʔ 41; chəʔ 41","chô 12","che 12","chəʔ 4","chôʔ 41 (lit.); cha̲ʔ 41","cha 41","chô 4","ćhiɛ 12","chɛt 41","chak 41","čhāk 43","chîk 41","cheʔ 41","caʔ 41","chôʔ 4","čhai 42"
 134, 186,"冬","通合一平東端","0392 2617","tuŋ 11","tuŋ 11","toŋ 11","tuŋ 1","toŋ 11","toŋ 11","tɔuŋ 11","toŋ 11","toŋ 11","toŋ 11","taŋ 11; tən 11","tuŋ 11","tuŋ 11","tuŋ 11","tɔŋ 11","taŋ 11","tuŋ 11 (lit.); töyŋ 11","toŋ 1","tuŋ 1"
 135, 188,"出","臻合三入術昌","0427 0872","c̣hu 11","c̣hu 11","pfhu 11","chuəʔ 41","ćhy 12","chu 12","chuəʔ 4","chôʔ 41","ćhy 41","ćhy 4","thy 12","chit 41","chut 41","čhö̲t 41","chut 41","chuk 41","chouʔ 41","chôʔ 4","čhiu 42"
 136, 190,"刊","山開一平寒溪","0436 1748","khan 11","khã 11","khã 11","khä̃ 1","khan 11","khan 11","khɛ̃ 11","khö 31","khö 11","khan 11","khuɛ̃ 11","khɔn 11","khan 11","hɔn 11","khan 11","khaŋ 11","khaŋ 11","khe̲ 3","khan 1"
 137, 191,"加","假開二平麻見","0502 0076","ćia 11","ćia 11","ćia 11","ćia 1","ćia 11","ćia 11","ćiâ 11","ćia̲ 11 (lit.); ka̲ 11","ko XH","ćia 11","ćio 11","ka 11","ka 11","ka 11","ka 11 (lit.); ke 11","kia 11","ka 11","ka 1","ka 1"
 138, 192,"功","通合一平東見","0501 2685","kuŋ 11","kuŋ 11","koŋ 11","kuŋ 1","koŋ 11","koŋ 11","kɔuŋ 11","koŋ 11","koŋ 11","koŋ 11","kaŋ 11; kən 11","kuŋ 11","kuŋ 11","kuŋ 11","kɔŋ 11","kaŋ 11","kuŋ 11","",""
 139, 193,"包","效開一平肴幫","0545 1269","pau 11","pɔ 11","pau 11","pau 1","pau 11","pau 11","pɔ 11","pä 11","puɔ 11","pai 11","pə 11","pau 11","pau 11","pāu 11","pau 11","pau 11","pau 11","pɔ 1","pau 1"
 140, 194,"匆","通合一平東清","1846 2651","chuŋ 11","chuŋ 11","choŋ 11","chuŋ 1","choŋ 12","choŋ 11","chɔuŋ 11","choŋ 11","choŋ 11","choŋ 11","chaŋ 11; chən XH","chuŋ 11","chuŋ 11","chuŋ 11","chɔŋ 11","choŋ 11","chuŋ 11","",""
 141, 195,"北","曾開一入德幫","0554 1136","pei 2","pei 11","pe 11","pei 2","pô 12","pe 12","pɔʔ 4","poʔ 41","pai 41","pô 4","piɛ 12","pɛt 41","pɛt 41","pak 41","pɔk 41 (lit.); pak 41","pak 41","pö̲yʔ 41","poʔ 4","pei 42"
 142, 198,"半","山合一去換幫","0584 1633","pan 3","pã 3","pã 3","pä̃ 3","pan 3","pan 3","puõ 3","pö 31","pö 31","põ 31","piɛ̃ 31","pɔn 31","pan 3","pun 31","puan 31","phuã 22","phuaŋ 31","pö 3","pon 3"
 143, 200,"卡","","0595 0094","ćhia 2","ćhia 2","ćhia 2","ćhiaʔ 41","ćhia 2","ćhia 2","khai 2","kha̲ 2","kha 21","kha 2","kha 2","kha 2","kha 11","kha 11","chaʔ 41 (lit.); kha 2","kha XH","kha 31","kha 1",""
 144, 202,"卯","效開二上巧明","0602 1295","mau 2","mɔ 2","mau 2","mau 2","mau 2","mau 2","mɔ 2","mä 12","muɔ 22","mau 2","mə 2","mau 2","mau 11","māu 22","bau 2","mau 21","mau 2","mɔ 32","mau 2"
 145, 204,"去","遇合三去御溪","0637 0985","ćhy 3","ćhy 3","ćhy 3","ćhy 3","ćhy 3","ćhy 3","khəi 3; ćy 3  (lit.)","ćhy 31","ćhy 31","ćhy 31 (lit.); khô 31","thy 31","ćhiɛ 2","hi 3","hö̲y 31","khi 31; khu 31","khɨ 32","khöy 31 (lit.); khɔ 31","ćhy 3","khiu 3"
 146, 205,"可","果開一上哿溪","0668 0194","khô 2","khə 2","khô 2","khə 2","kho 2","kho 2","khôɨ 2","khəu 2","khuɔ 21","kho 2","khû 2","kho 2","kho 2","hɔ 21","kho 2","kho 21","khɔ 2","khu 3","kho 2"
 147, 206,"古","遇合一上姥見","0657 0911","ku 2","ku 2","ku 2","khu 2","ku 2","ku 2","ku 2","kəu 2","ku 21","ku 2","kəu 2","ku 2","ku 2","ku 21","kɔ 2","kou 21","ku 2","ku 3","ku 2"
 148, 207,"右","流開三去宥云","0671 1621","iou 3","iou 3","iou 3","iou 3","iou 3","iəu 3","iôɨ 3","iöy XH","ɦiau 32","iôu 32","iû 32","iu 32","jiu 3","jau 32","iu 32","iu 22","ieu 32","iɨ 32","iou 3"
 149, 210,"叩","流開一去候溪","0661 1559","khou 3","khou 3","khou 3","khou 3","khou 3","khəu 3","khôɨ 3","khöy 2","khəu 31","khôu 31","khie 31","khiɛu 31","khɛu 3","khau 31","khɔ 31","khau 31","khau 31","khôɨ 3",""
 150, 213,"司","止開三平之心","0674 0424","si̲ 11","si̲ 11","si̲ 11","si̲ 1","si̲ 11","si̲ 11","si̲ 11","si̲ 11","si̲ 11","si̲ 11","si̲ 11","si̲ 11","si̲ 11","ši 11","si 11","si̲ 11","sy 11","si̲ 1","si̲ 1"
 151, 215,"叫","效開四去嘯見","0663 1461","ćiau 3","ćiɔ 3","ćiau 3","ćiau 3","ćiau 3","ćiau 3","ćiɔ 3","ćiä 31","ćiɛ 31","ćiau 31","ćiə 31","ćiâu 31","kiau 3","kiu 31","kiau 31 (lit.); kio 31","kie 31","kieu 31","ćiɔ 3","kiau 3"
 152, 216,"另","","0659 2557","liŋ 3","liŋ 3","liŋ 3","liŋ 3","nin 3","nin 3","lĩ 3","lin 32","leŋ 32","nin 31 (lit.); nin 32","nin 32","lin 32","laŋ 3","lîŋ 32","lîŋ 32","leŋ 32","leiŋ 32","liŋ 32",""
 153, 217,"只","A: 止開三上紙章; B: 梗開三入昔章","A: 0662 0457; B: 0662 0448","A: c̣î̲ 2; B: c̣î̲ 11","A: c̣î̲ 2; B: c̣î̲ 11","A: ci̲ 2; B: c̣î̲ 11","A: ci̲ 2; B: cəʔ 41","A: ci̲ 12; B: ci̲ 11","A: ci̲ 2; B: ci̲ 11","A: ci̲ 2; B: cəʔ 4","A: côʔ 41; B: côʔ 41","A: ci̲ 41; B: ci̲ 41","A: c̣î̲ 2; B: c̣î̲ 4","A: c̣î̲ 2; B: c̣î̲ 12; to XH","A: cət 41; B: cak 41","A: cət 41; B: cak 41","A: či 21; B: čɛk 43","A: ci 2; B: ciaʔ 41","A: ci 21; B: ci 21","A: ci 2; B: cieʔ 41","A: côʔ 4; B: caʔ 4","A: ; B:"
 154, 218,"史","止開三上止生","0670 0503","ṣî̲ 2","ṣî̲ 2","si̲ 2","si̲ 2","si̲ 2","si̲ 2","si̲ 2","si̲ 2","si̲ 21","ṣî̲ 2","ṣî̲ 2","si̲ 2","si̲ 2","ši 21","su 2","si̲ 21","sy 2","si̲ 3","ši̲ 2"
 155, 220,"台","蟹開一平咍定","0669 1054","thai 12","thɛ 12","thɛ 12","thai 1","thɛ 12","thai 12","thɛ 12","de̲ 12","de̲ 12","tai 12","due 12","thai 12","thɔi 12","thɔi 12","tai 12","thai 12","tai 12","te̲ 32","tai 12"
 156, 221,"句","遇合三去遇見","0658 0973","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 31","ćy 31","ćy 31","ty 31","ćy 31","ki 3","kö̲y 31","ku 31","ku 31","kuɔ 31","ćy 3","kiu 3"
 157, 224,"四","止開三去至心","0934 0432","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 31","si̲ 31","si̲ 31","si̲ 31","si̲ 31","si 3","ši 31","su 31 (lit.); si 31","si 31","söy 31 (lit.); sei 31","si̲ 3","si̲ 3"
 158, 225,"囚","流開三平尤邪","0933 1602","ćhiou 12","ćhiou 12","śiou 12","ćhiou 1","ćhiou 12","śiəu 12","ćhiôɨ 12","zöy 12","ʒ́iu 12","ćiôu 12","ʒ́iû 12","ćhiu 12","siu 12","čhau 12","siu 12","chiu 11","chieu 12","ćiɨ 32","siou 12"
 159, 226,"外","蟹合一去泰疑","1120 1131","uai 3","uɛ 3","ue 3","vai 3","uai 3","uai 3","ue 3","ɦue̲ 32 (lit.); ŋa̲ 32","va 32","uai 32","ue 31","nai 32","ŋuai 3","ŋɔi 32","gue 32 (lit.); gua 32","gua 32","ŋuei 32","ŋa 32","uai 3"
 160, 227,"央","宕開三平陽影","1135 2357","iaŋ 11","iaŋ 11","iaŋ 11","iã̲ 1","iaŋ 11","iaŋ 11","iâŋ 11","iaŋ 11","i 11","ian 11","iaŋ 11","iɔŋ 11","jɔŋ 11","jö̲ŋ 11","iɔŋ 11 (lit.); ŋ 11","iaŋ 11","yɔ 11","iã 3","iaŋ 1"
 161, 228,"失","臻開三入質書","1136 0491","ṣî̲ 11","ṣî̲ 11","ṣî̲ 11","səʔ 41","si̲ 12","si̲ 12","səʔ 4","sôʔ 41","sai 41","ṣî̲ 4","ṣî̲ 12","sət 41","sət 41","šat 41","sit 41; si 2","sik 41","seiʔ 41","sôʔ 4","ši̲ 2"
 162, 229,"奴","遇合一平模泥","1167 0816","nu 12","nu 12","nou 12","nou 1; nu 1","nou 12","nu 12","no 12","nəu 12","nəu 12","nôu 12","nəu 12","lu 31","nu 12","nou 12","nɔ̃ 12","nou 12","nu 12","nou 32","nu 12"
 163, 230,"奶","蟹開二上蟹泥","1168 1061","nai 2","nɛ 2","nɛ 2","nai 2","nai 2","nai 2","nɛ 2","ne̲ 32 (lit.); na̲ 32","na 22; na 11","nai 2","na 2","lai 2","nai 11","nāi 22","nĩ 11; lîŋ 11","nai 21","nɛ 2; nein 12","na 32","nai 2"
 164, 231,"孕","曾開三去證以","1314 2222","yn 3","yẽ 3","iẽ 3","yŋ 3","yn 3","zuən 3","yĩ 3","yən 32","ɦiaŋ 32","yn 31 (lit.); yn 32","in 32","yn 32","jun 2","jan 32","in 32","eŋ 22","eiŋ 32","yiŋ 32","iən 3"
 165, 232,"它","果開一平歌透","1338 0255","thuo 11","tha 11","tha 11","tha 1","tha 11","tha 11","thâ 11","tha̲ 11","tho 11","tha 11; tho 11","tho 11","tha 11","tha 11","tha 11","tha 11 (lit.); to 12","tha 11","tha 11","tha 1","thuo 1"
 166, 233,"尼","止開三平脂泥","1441 0593","ni 12","ńi 12","ńi 12","ni 1","ni 12","ńi 12","ni 12","ńi 12","ńi 12","ńi 12","ńi 12","ńi 31","ni 12","nei 12","nĩ 12","ni 12","li 12","ńi 32","ni 12"
 167, 234,"巨","遇合三上語群","1565 0971","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ʒ́y 32","ʒ́y 22","ćy 31","dy 32","ćhy 32","ki 2","kö̲y 32","ku 32","kɨ 22","köy 31","ćy 32",""
