"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
 585, 926,"抬","蟹開一平咍定","2127 1055","thai 12","thɛ 12","thɛ 12","thai 1","thɛ 12","thai 12","thɛ 12","de̲ 12","de̲ 12","tai 12","due 12","thai 12","thɔi 12","thɔi 12","thai 12","thai 12","thai 12","te̲ 32",""
 586, 928,"放","宕合三去漾非","2397 2242","faŋ 3","faŋ 3","faŋ 3","fã̲ 3","faŋ 3","faŋ 3","fâŋ 3","fa̲ŋ 31","xuɔ 31","fan 31","xaŋ 31","фuɔŋ 31","fɔŋ 3","fɔŋ 31","hɔŋ 31 (lit.); paŋ 31","huaŋ 31","xuɔŋ 31","fã̲ 3","faŋ 3"
 587, 929,"斧","遇合三上噳非","2445 0776","fu 2","fu 2","fu 2","fu 2","fu 2","fu 2","fu 2","fu 2","fu 21","fu 2","xəu 2","фu 2","pu 2","fu 21","hu 2  (lit.); pu 2","pou 21","xu 2  (lit.); phuo 2","fu 3","fu 2"
 588, 931,"旺","宕合三去漾云","2489 2405","uaŋ 3","uaŋ 3","vaŋ 3","vã̲ 3","uaŋ 3","uaŋ 3","uaŋ 3","ɦua̲ŋ 32 (lit.); ia̲ŋ 32","ɦuɔ 32","uan 31","aŋ 32","uɔŋ 32","vɔŋ 3","uɔŋ 32","ɔŋ 32","uaŋ 22","uɔŋ 32","uã̲ 32","uaŋ 3"
 589, 933,"易","A: 止開三去寘以; B: 梗開三入昔以","A: 2496 0722; B: 2496 0729","A: i 3; B: i 3","A: i 3; B: i 3","A: i 3; B: i 3","A: i 3; B: i 3","A: i 3; B: i 3","A: i 3; B: i 3","A: i 3; B: iəʔ 4","A: i 32; B: iôʔ 42","A: ɦi 32; B: ɦiai 42","A: i 32; B: i 4","A: i 12; B: i 12","A: it 41; B: it 41","A: ji 3; B: jit 42","A: ji 32; B: jîk 42","A: i 32; B: iaʔ 42","A: i 22; B: ek 42","A: ei 32; B: iʔ 42","A: ii 32; B: ii 32","A: i 43; B: i 43"
 590, 935,"昌","宕開三平陽昌","2490 2279","c̣haŋ 11","c̣haŋ 11","c̣haŋ 11","chã̲ 1","chaŋ 11","chaŋ 11","châŋ 11","chaŋ 11","ćhi 11","c̣han 11","thaŋ 11","chɔŋ 11","chɔŋ 11","čhö̲ŋ 11","chiɔŋ 11","chiaŋ 11","chuɔŋ 11","chã̲ 1","čhiaŋ 1"
 591, 936,"昆","臻合一平魂見","2492 2185","khuən 11","khuẽ 11","khuẽ 11","khuŋ 2","khuən 11","khuən 11","khuən 11","khuən 11","khaŋ 11","khuən 11","khuən 11","khun 11","khun 11","kuan 11","khun 11","khuŋ 11","khouŋ 11","khuəŋ 1","kuən 1"
 592, 937,"昂","宕開一平唐疑","2491 2315","aŋ 12","ŋaŋ 12","ŋaŋ 12","ŋã̲ 1","ŋaŋ 12","ŋaŋ 12","aŋ 12","ŋa̲ŋ 12","ŋuɔ 12","ŋan 12","ŋə 12","ŋɔŋ 31","ŋɔŋ 12","ŋɔŋ 12","gɔŋ 12","ŋaŋ 12","ŋouŋ 12","ŋã̲ 32","aŋ 12"
 593, 938,"明","梗開三平庚明","2494 2525","miŋ 12","miŋ 12","miŋ 12","miŋ 1","min 12","min 12","mĩ 12","min 12","meŋ 12","min 12","min 12 (lit.); miõ 12","min 31 (lit.); miaŋ 31","min 12","mîŋ 12","bîŋ 12 (lit.); mĩ 12","meŋ 12","miŋ 12","miŋ 32","miəŋ 12"
 594, 940,"昏","臻合一平魂曉","2495 2189","xuən 11","xuẽ 11","xuẽ 11","xuŋ 1","xuən 11","xuən 11","xuən 11","huən 11","śy 11","fən 11","xuən 11","фun 11","fun 11","fan 11","huŋ 11","huŋ 11","xuɔŋ 11","huəŋ 1","xuən 1"
 595, 945,"服","通合三入屋奉","2591 0773","fu 12","fu 12","fu 12","fəʔ 42","fu 12","fu 12","fɔʔ 4","voʔ 42","vu 42","fu 4","xəu 31","фuk 41","fuk 42","fuk 42","hɔk 42","hok 42","xuʔ 42","voʔ 42","fu 41"
 596, 946,"朋","曾開一平登並","2590 2408","phəŋ 12","phəŋ 12","phəŋ 12","phəŋ 1","phoŋ 12","phoŋ 12","phɔuŋ 12","bən 12 (lit.); baŋ 12","boŋ 12","poŋ 12 (lit.); pən XH","baŋ XH (lit.); bən XH","puŋ 12","phɛn 12","phaŋ 12","pîŋ 12","pheŋ 12","peiŋ 12","pã 32","phəŋ 12"
 597, 947,"杭","宕開一平唐匣","2635 2313","xaŋ 12","xaŋ 12","xaŋ 12","xã̲ 1","xaŋ 12","xaŋ 12","xâŋ 12","ɦa̲ŋ 12","ɦuɔ 12","xan 12","ɣaŋ 12","hɔŋ 12","hɔŋ 12","hɔŋ 12","hɔŋ 12 (lit.); haŋ 12","haŋ 12","xouŋ 12","",""
 598, 949,"枕","深開三上寢章","2650 2053","c̣ən 2","c̣ẽ 3","c̣ẽ 2","cəŋ 3","cən 2","cən 2","cən 2","cən 2","caŋ 21","c̣ən 31","ćin 2","cən 2","cəm 2","čam 21","cim 2","cim 21","ciŋ 2","cəŋ 3","čiəm 2"
 599, 950,"東","通合一平東端","2639 2616","tuŋ 11","tuŋ 11","toŋ 11","tuŋ 1","toŋ 11","toŋ 11","tɔuŋ 11","toŋ 11","toŋ 11","toŋ 11","taŋ 11; tən 11","tuŋ 11","tuŋ 11","tuŋ 11","tɔŋ 11","taŋ 11","tuŋ 11 (lit.); töyŋ 11","toŋ 1","tuŋ 1"
